성별,연령대,총인구수,1인가구수,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 비사용 인구수,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,카카오톡 비사용 인구수,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수,cluster
1,20,220.0,68.91,89.09,536.34,220.0,0.0,6500.0,8.89,0.0,0.01,62.19,7.83,6.33,2.96,13.23,18.95,7.86,687875.28,187116.29,658.44,315.35,8.38,74.16,96.4,108.96,39.24,0.24,-0.18,14.34,2.71,1.67,2
1,25,321.0,111.76,52.0,580.46,299.46,2.33,7189.19,6.04,6.46,0.22,78.37,9.42,12.42,4.49,13.54,21.07,10.24,599716.78,151865.31,631.68,384.07,10.71,71.15,137.81,157.28,46.97,0.22,-0.15,18.88,2.82,1.67,2
1,30,350.23,112.44,43.93,522.67,324.44,2.94,6872.15,11.69,15.17,0.2,79.49,9.89,15.07,5.38,11.07,21.01,10.12,603509.69,159988.3,652.45,461.74,9.93,61.57,149.82,178.59,47.49,0.13,-0.18,20.59,2.85,1.67,2
1,35,353.0,111.49,62.0,556.96,336.5,2.5,6542.37,5.61,19.79,0.11,77.52,13.65,17.5,6.45,7.56,21.27,9.64,612253.24,165371.29,751.87,462.31,10.21,57.91,147.34,180.28,46.21,0.05,-0.18,18.32,3.46,1.67,2
1,40,419.0,77.91,68.21,546.73,408.05,2.22,5823.13,7.83,29.21,0.02,67.64,9.96,17.34,6.22,7.13,19.69,8.86,635847.74,163142.77,770.92,458.97,9.31,54.41,143.42,185.52,44.21,-0.02,-0.23,17.76,2.5,1.67,2
1,45,352.0,70.6,60.56,540.13,340.54,2.92,5768.82,4.07,27.22,0.0,71.75,13.01,16.33,5.93,5.64,22.17,8.92,613819.62,164839.12,828.04,437.96,9.82,59.15,121.31,170.44,41.14,-0.05,-0.29,16.28,3.33,1.67,2
1,50,323.0,48.56,63.58,514.12,312.84,2.59,6066.67,7.69,31.62,-0.03,78.24,13.3,18.3,6.16,4.17,21.79,9.11,640171.36,166818.49,821.1,430.3,9.28,51.82,118.51,144.8,37.71,-0.13,-0.38,13.42,3.43,1.67,3
1,55,351.0,46.21,61.22,517.79,339.57,2.29,5160.0,6.36,29.79,-0.04,67.39,17.17,18.8,6.55,3.04,22.6,9.85,625933.04,162151.67,971.19,505.15,9.4,46.74,93.72,122.04,32.11,-0.13,-0.49,8.47,3.75,1.67,3
1,60,245.0,39.52,71.37,518.21,243.87,1.67,4357.14,3.24,10.21,0.0,60.9,10.31,17.75,6.13,2.96,21.51,9.46,656883.1,176643.04,871.08,475.77,9.59,44.87,71.31,96.82,28.33,-0.07,-0.55,7.92,2.22,0.0,0
1,65,180.0,31.12,69.57,483.61,177.91,1.67,4478.26,7.02,11.51,-0.07,44.51,8.24,15.7,5.1,2.13,18.77,8.62,702655.23,180469.43,605.7,358.68,9.27,41.01,49.71,77.61,25.19,-0.12,-0.59,6.36,1.67,1.67,3
1,70,151.07,26.15,0.0,0.0,149.6,1.67,3939.39,4.85,5.87,-0.11,39.43,10.0,13.6,4.32,1.35,18.56,8.16,765002.91,204142.07,593.12,313.7,7.98,40.37,49.87,56.56,16.45,-0.14,-0.61,10.83,1.67,1.67,4
1,75,310.93,86.18,0.0,0.0,310.93,0.0,4250.0,4.25,68.93,-0.25,30.35,12.5,9.88,3.89,0.85,13.39,5.88,855712.64,239537.62,386.58,226.23,6.3,33.05,33.37,37.8,14.43,-0.43,-0.62,13.7,1.67,1.67,4
2,20,362.0,118.05,51.5,514.26,359.03,3.33,6039.22,4.92,2.97,-0.01,65.02,12.52,6.3,3.43,6.93,21.6,8.36,633072.13,164610.74,520.17,294.25,9.09,33.17,80.3,111.52,31.1,0.11,-0.22,13.86,2.22,1.67,1
2,25,365.0,135.95,48.74,529.76,347.71,2.04,6956.14,8.42,1.92,0.16,64.1,15.67,10.82,4.83,7.69,19.57,9.51,603657.5,153522.34,576.43,396.52,9.21,42.2,130.55,175.04,40.42,0.14,-0.11,18.47,2.41,1.67,1
2,30,428.0,143.95,46.89,554.66,418.27,3.0,5143.94,5.0,15.56,0.12,67.87,10.38,10.93,5.3,8.06,18.58,9.0,618329.68,162729.03,553.57,396.46,8.51,44.38,144.0,200.6,43.51,0.05,-0.17,18.01,2.67,1.67,1
2,35,404.0,122.12,43.62,504.62,389.86,3.1,6205.13,6.0,14.14,0.01,59.0,10.18,12.04,5.82,5.43,18.48,8.21,664156.0,185369.67,522.69,358.7,7.95,36.23,126.73,198.66,40.54,-0.03,-0.21,16.0,3.44,1.67,1
2,40,410.0,83.23,54.83,506.96,393.99,2.12,5337.25,6.38,4.37,0.03,75.48,10.93,14.26,6.42,4.91,17.12,7.9,692510.44,189085.17,500.65,335.45,7.04,41.74,128.67,211.33,41.52,0.0,-0.26,15.22,2.5,1.67,1
2,45,420.0,97.52,56.56,503.4,401.05,2.36,6303.92,7.89,12.63,0.0,74.13,13.26,14.42,6.24,4.16,17.74,7.38,720294.7,200927.23,525.07,296.89,7.18,44.86,116.24,202.24,39.2,-0.08,-0.34,14.79,3.24,1.67,1
2,50,389.0,59.59,60.15,488.3,374.04,2.42,5645.3,4.9,19.04,-0.06,76.13,11.83,14.51,5.84,2.65,18.72,7.71,702066.43,186441.55,605.3,357.44,7.66,41.23,94.24,153.17,28.79,-0.13,-0.4,11.31,2.82,1.67,6
2,55,378.26,53.63,56.06,478.47,365.53,2.5,7666.67,5.19,18.03,-0.11,69.43,10.27,14.97,5.22,2.03,17.4,7.88,747487.17,197820.94,571.93,342.73,6.87,38.25,68.48,122.68,23.8,-0.17,-0.49,9.41,2.67,1.67,6
2,60,288.0,46.82,64.42,521.88,285.05,3.33,4811.59,4.62,13.29,-0.11,69.03,12.73,15.15,4.89,1.61,15.94,7.33,770534.37,206065.8,496.18,300.21,6.34,37.09,55.84,107.54,20.67,-0.16,-0.54,10.49,0.0,1.67,6
2,65,248.0,43.27,73.1,493.95,242.6,2.92,3947.37,5.98,16.2,-0.09,84.52,12.85,13.9,4.77,1.1,15.19,7.27,793308.2,197603.64,483.44,307.55,7.11,38.08,40.87,74.02,19.25,-0.15,-0.57,8.33,0.0,1.67,6
2,70,212.95,39.31,0.0,0.0,211.43,3.33,4619.05,2.86,25.86,-0.19,67.87,14.6,11.53,3.66,0.78,12.9,5.75,829562.38,215616.67,358.69,257.41,5.69,32.34,27.26,46.11,12.88,-0.25,-0.63,3.06,0.0,0.0,5
2,75,365.05,127.01,0.0,0.0,363.53,1.67,5944.44,2.92,109.52,-0.26,60.87,6.83,9.16,2.82,0.39,9.5,4.89,941535.84,256653.97,237.01,192.35,4.42,28.8,16.16,27.5,9.98,-0.53,-0.65,4.17,0.0,0.0,5
1,20,124.0,61.87,106.57,369.61,124.0,0.0,4100.0,8.06,0.0,0.01,58.91,13.1,6.94,2.64,14.3,7.41,4.41,729486.02,176815.32,439.33,255.94,3.93,89.6,104.32,130.87,42.74,0.37,0.0,13.25,2.22,1.67,2
1,25,83.54,42.5,69.09,492.5,79.54,3.33,5777.78,4.76,4.0,0.25,103.96,9.05,16.14,5.09,17.81,20.08,8.77,560055.0,173673.33,848.33,435.19,9.26,73.89,158.0,211.19,58.58,0.37,-0.14,20.0,2.92,1.67,2
